Paper_Quality,Presentation_Skills,PPT_Design,Content_Clarity,Technical_Depth,QA_Handling,Time_Management,Confidence_Level,Category
2,7,5,7,1,1,5,2,Low
9,9,9,8,6,10,7,2,High
5,1,5,1,10,9,4,9,Medium
1,9,2,6,10,5,10,8,Medium
2,1,5,10,9,6,1,1,Low
5,6,3,2,4,5,4,3,Low
10,10,10,7,8,9,5,9,High
8,5,10,8,9,7,6,7,High
4,2,2,4,6,5,1,10,Medium
3,9,3,1,2,6,10,2,Low
9,1,8,10,10,9,9,10,High
4,7,2,1,2,4,8,3,Low
2,6,5,1,1,4,4,6,Low
7,4,5,9,6,10,4,8,Medium
8,1,9,2,2,4,10,3,Medium
8,9,6,10,9,4,8,3,Medium
1,3,3,1,7,1,7,4,Low
7,7,1,2,7,8,4,6,Medium
10,8,3,2,9,7,9,2,Medium
4,3,5,8,10,8,7,8,Medium
7,8,1,8,10,5,8,9,High
7,6,3,10,10,10,9,8,High
1,6,8,5,2,5,8,2,Medium
7,2,2,2,1,1,7,5,Low
1,4,6,2,7,8,1,4,Low
3,3,1,9,1,9,1,2,Low
5,7,2,4,2,7,2,1,Low
1,5,1,7,1,1,2,10,Low
6,4,10,7,3,6,4,3,Medium
6,2,7,2,2,1,3,6,Low
2,1,7,5,1,6,5,3,Low
2,3,2,3,8,6,7,10,Medium
10,9,9,8,7,6,2,4,High
9,7,6,10,8,9,3,10,High
3,1,10,2,10,4,1,1,Low
8,6,4,6,6,10,3,8,High
4,10,10,4,9,3,10,10,High
7,6,2,10,10,9,5,6,High
7,7,9,10,9,9,6,8,High
2,4,7,1,1,10,7,7,Low
3,2,2,5,1,2,9,7,Low
6,10,8,10,4,10,8,9,High
10,4,10,8,6,7,7,4,High
1,5,2,7,8,2,7,4,Medium
10,5,7,4,7,8,10,10,High
1,4,5,1,8,2,1,2,Low
5,9,9,10,10,3,8,7,High
2,10,2,7,1,7,10,5,Medium
10,6,1,3,1,10,9,9,Medium
10,10,2,8,5,8,5,6,High
8,9,8,5,8,10,10,9,High
7,6,9,8,4,9,1,6,Medium
7,1,3,6,6,6,2,2,Medium
10,10,8,7,10,4,7,8,High
4,3,8,2,9,8,8,3,Medium
7,1,1,1,2,1,4,10,Low
8,2,9,4,6,3,3,3,Medium
6,1,3,9,10,1,2,8,Medium
10,1,1,10,8,8,7,6,Medium
5,8,8,5,7,1,4,2,Medium
8,6,10,9,4,10,9,8,High
5,1,6,6,3,8,1,1,Low
3,6,10,6,9,9,2,4,Medium
8,5,10,10,6,2,8,9,High
7,9,9,1,1,10,5,1,Medium
9,7,5,2,9,7,9,9,High
1,10,5,7,9,8,2,9,High
1,1,10,3,4,2,1,4,Low
2,4,6,3,3,6,1,1,Low
2,3,4,7,6,8,9,6,Medium
9,10,5,2,6,8,5,1,Medium
2,3,3,4,4,10,5,4,Low
10,7,9,8,2,2,7,10,High
7,6,7,7,10,1,3,10,High
10,9,1,8,1,5,10,8,Medium
10,2,6,1,3,5,4,3,Low
7,4,8,8,7,2,6,6,Medium
3,8,4,3,1,5,4,1,Low
1,1,4,10,7,2,2,1,Low
5,1,1,5,6,5,2,9,Medium
4,1,7,9,1,1,1,10,Medium
10,7,7,6,4,7,2,9,High
8,3,9,10,5,10,9,7,High
9,8,4,2,2,2,6,7,Medium
7,2,8,10,9,8,9,6,High
3,8,9,4,9,2,5,2,Medium
3,2,5,1,3,1,3,4,Low
1,2,8,5,7,6,1,6,Medium
9,9,9,6,9,3,5,2,Medium
10,8,2,8,1,4,3,5,Medium
10,7,7,1,6,4,10,10,Medium
3,4,1,4,1,5,8,8,Low
1,1,8,2,1,8,4,3,Low
5,2,2,1,8,2,3,2,Low
1,2,1,7,2,1,6,6,Low
8,3,7,7,2,9,3,2,Medium
10,9,7,6,8,8,6,4,High
1,3,3,2,5,10,3,3,Low
2,3,7,2,5,2,7,10,Medium
3,2,9,3,2,4,2,1,Low
4,1,3,1,5,4,7,5,Low
3,4,3,1,10,5,1,1,Low
8,5,3,5,8,7,6,1,Medium
2,7,2,5,7,3,4,1,Low
6,5,5,9,1,8,2,7,Medium
1,10,4,9,4,10,8,7,Medium
6,4,10,7,1,3,3,1,Low
9,8,7,10,8,4,2,9,High
6,2,4,3,4,5,7,9,Medium
5,7,6,7,9,3,10,7,High
9,1,8,9,9,8,4,7,High
8,6,9,3,6,5,8,4,Medium
6,2,1,8,3,1,8,1,Low
3,7,5,5,4,1,5,4,Medium
10,5,8,2,7,10,10,7,High
5,7,4,1,6,2,3,4,Low
7,4,10,10,10,8,6,8,High
1,7,6,3,1,5,10,4,Medium
10,10,10,6,8,5,5,3,High
6,5,5,8,9,7,10,8,High
5,5,2,3,6,2,4,2,Medium
9,8,10,2,9,10,2,7,High
3,7,7,10,3,2,9,1,Medium
7,10,2,7,10,10,3,7,High
5,10,6,6,9,10,2,6,High
5,9,6,7,8,5,4,8,High
4,5,9,7,7,10,7,9,High
1,1,1,4,6,4,3,8,Low
2,4,6,8,3,1,3,3,Low
4,3,3,4,1,2,9,10,Low
9,6,10,6,10,6,2,10,High
4,2,10,9,7,1,8,3,Medium
6,3,4,10,3,6,1,8,Medium
4,1,3,4,2,2,2,1,Low
4,7,10,3,10,3,2,6,Medium
8,6,5,9,10,3,7,9,High
8,8,3,10,10,6,4,1,Medium
9,3,10,10,6,1,10,3,Medium
1,4,9,1,1,4,3,7,Low
8,8,3,8,6,10,9,10,High
5,6,3,10,7,9,9,10,High
9,7,6,7,10,5,1,9,High
10,7,9,9,7,8,10,3,High
10,7,6,9,5,6,10,6,High
10,10,5,4,10,6,7,7,High
8,4,6,6,5,1,7,10,Medium
10,7,9,3,9,2,9,6,High
7,8,6,4,6,1,10,8,Medium
3,10,1,3,9,4,3,8,Medium
2,8,9,8,10,3,7,10,Medium
6,2,8,4,9,8,3,3,Medium
6,10,5,10,9,2,9,9,High
1,5,4,3,6,2,3,5,Low
10,10,5,6,4,2,2,3,Medium
8,10,1,1,10,8,9,10,Medium
1,10,4,7,2,2,1,2,Low
10,5,9,7,4,8,4,6,High
5,9,2,1,9,8,10,6,Medium
2,4,6,3,8,3,2,3,Low
2,2,9,4,3,1,2,6,Low
7,5,10,6,6,4,8,9,High
5,1,2,1,6,9,7,5,Medium
7,6,7,7,9,7,6,10,High
6,8,3,9,5,8,4,9,High
6,9,4,6,9,10,1,8,High
10,10,8,10,5,1,8,5,High
3,6,10,8,6,2,2,7,Medium
9,4,5,8,2,3,6,7,Medium
2,2,4,3,3,10,5,3,Low
1,4,5,2,1,8,6,5,Low
7,5,8,10,6,6,7,8,High
1,1,7,1,1,3,10,4,Low
5,5,4,6,2,3,1,2,Low
10,10,7,7,8,7,6,8,High
3,5,2,4,1,4,7,3,Low
10,7,10,7,7,2,9,6,High
10,10,2,4,8,1,5,8,Medium
8,10,9,10,9,5,9,4,High
1,1,8,3,1,7,10,3,Low
10,10,6,8,8,5,4,5,High
7,2,1,7,5,1,4,4,Low
6,4,2,3,2,5,6,5,Low
6,4,8,2,2,7,5,1,Medium
4,5,1,6,10,6,2,10,Medium
4,1,2,2,4,8,2,9,Medium
3,3,2,5,3,6,2,3,Low
1,7,2,2,5,5,7,1,Low
7,1,3,4,4,5,3,3,Low
1,2,3,8,10,4,4,10,Medium
5,3,10,2,1,10,2,8,Medium
8,5,10,10,3,7,4,10,High
4,6,7,5,2,3,10,3,Medium
10,5,7,5,1,2,5,6,Medium
6,3,5,2,1,1,4,10,Low
4,4,2,5,4,1,8,3,Low
8,4,2,2,10,1,5,6,Medium
10,5,2,6,10,9,6,8,High
5,8,7,8,10,6,7,9,High
10,2,4,2,2,10,3,8,Medium
1,1,2,9,2,2,6,7,Low
7,4,9,6,6,3,10,10,High
8,7,10,4,2,9,2,1,Medium
5,10,8,9,7,9,1,9,High
10,6,8,1,6,6,5,4,Medium
4,7,10,7,10,1,3,7,High
9,1,3,4,1,1,8,2,Low
1,6,9,10,4,10,1,9,Medium
10,6,5,6,10,7,7,10,High
3,4,1,4,5,3,10,2,Low
3,7,3,7,8,3,2,6,Medium
10,2,9,8,10,10,9,9,High
7,7,2,7,6,7,8,4,Medium
5,3,4,5,9,9,3,7,Medium
1,2,4,3,1,8,7,4,Low
10,10,4,9,9,7,10,8,High
2,4,9,2,9,7,10,8,Medium
1,1,4,5,5,4,8,7,Low
3,5,8,1,1,7,5,5,Low
1,1,4,7,1,9,4,3,Low
2,7,9,7,3,7,8,1,Medium
2,4,6,5,9,10,4,5,Medium
8,10,8,7,8,9,10,7,High
1,2,5,4,4,9,8,6,Low
2,9,4,9,9,2,9,9,High
5,1,4,8,1,5,4,6,Medium
2,10,6,5,5,6,10,7,Medium
5,10,2,9,5,8,4,9,High
7,4,3,8,4,4,8,1,Medium
10,2,6,10,8,5,1,10,High
5,10,3,7,6,1,4,6,Medium
1,3,6,2,10,1,1,5,Low
3,3,9,10,4,2,3,3,Medium
4,2,1,3,2,1,1,2,Low
1,3,2,2,6,1,2,6,Low
6,1,1,3,3,5,1,10,Low
9,9,5,2,9,8,10,10,High
3,8,2,4,2,5,9,1,Low
6,6,7,1,7,2,6,8,Medium
1,3,5,3,4,3,4,1,Low
7,6,10,10,10,6,10,9,High
5,7,7,6,8,2,7,10,High
3,6,3,9,7,5,2,9,Medium
6,6,1,6,3,6,10,6,Medium
5,7,7,10,8,1,5,9,High
6,10,10,9,3,10,2,1,Medium
10,10,6,1,4,10,5,2,Medium
8,2,6,9,3,2,10,5,Medium
3,10,5,9,8,3,9,10,High
10,2,8,3,9,6,9,9,High
10,8,5,3,9,7,5,7,Medium
10,9,3,9,6,10,6,7,High
8,9,5,2,10,10,6,7,High
10,9,1,7,10,7,8,6,High
10,1,6,7,9,3,2,5,Medium
8,8,3,1,6,2,2,3,Medium
10,9,10,3,3,6,6,6,Medium
3,2,1,4,5,6,5,1,Low
5,7,9,4,9,1,6,2,Medium
3,6,9,6,6,1,9,4,Medium
8,8,10,9,4,10,6,7,High
8,2,3,1,6,7,4,1,Medium
5,3,3,3,6,4,3,2,Low
4,2,2,9,1,7,3,3,Low
1,1,3,5,3,1,1,8,Low
3,4,1,5,1,1,10,7,Low
6,5,1,3,1,4,10,3,Low
5,2,2,4,4,8,6,10,Medium
1,2,2,6,4,10,3,3,Low
5,9,5,9,10,8,7,1,Medium
6,2,3,8,1,3,10,1,Low
8,7,7,7,9,6,6,9,High
5,1,3,9,1,5,2,4,Low
8,9,1,9,10,8,1,7,High
4,9,10,8,4,1,10,4,Medium
5,9,8,9,3,3,1,10,Medium
1,4,6,9,2,1,10,2,Low
5,5,5,8,9,3,9,8,High
9,2,4,2,5,3,10,2,Low
6,10,2,3,4,7,8,2,Medium
4,2,7,7,3,7,1,1,Medium
3,10,8,7,10,5,4,6,High
9,6,7,10,8,9,6,8,High
2,2,8,10,9,7,8,5,Medium
10,9,3,9,10,8,5,10,High
9,10,6,10,2,8,5,9,High
10,10,4,4,8,3,5,5,High
6,4,8,2,2,2,3,6,Medium
6,1,7,1,2,2,5,10,Low
5,9,3,10,10,8,7,7,High
6,2,5,2,3,3,6,6,Low
1,4,7,4,9,8,8,5,Medium
5,6,6,9,1,8,10,5,Medium
5,7,8,8,10,9,1,7,High
1,5,10,10,2,10,2,7,Medium
9,4,3,10,6,3,1,4,Medium
8,1,6,2,2,7,10,1,Low
3,1,5,7,2,5,6,7,Low
10,4,9,8,3,6,9,8,High
10,2,10,7,9,5,8,5,Medium
7,9,1,4,1,8,3,2,Medium
7,1,5,6,4,2,4,1,Low
1,10,6,10,7,9,8,8,High
7,6,2,4,2,1,3,4,Medium
1,5,8,1,2,7,8,3,Medium
7,10,7,3,4,6,7,4,Medium
6,6,8,8,9,1,10,8,High
9,8,7,9,3,10,4,7,High
10,3,4,9,9,10,5,7,High
4,2,1,3,7,10,2,9,Medium
10,5,6,7,9,7,4,10,High
10,6,5,4,7,4,5,5,Medium
10,1,8,6,1,4,5,7,Medium
6,6,6,5,8,2,7,4,Medium
10,7,1,10,3,9,2,9,High
4,1,10,1,1,1,4,1,Low
10,10,10,5,10,9,7,7,High
3,2,5,6,1,6,10,3,Low
8,5,3,10,7,8,4,9,High
1,8,8,3,3,5,3,5,Medium
2,1,8,1,5,6,3,7,Low
8,6,8,9,9,6,8,2,High
7,2,6,1,3,2,7,4,Low
8,9,8,6,5,3,3,7,Medium
5,1,4,3,1,5,6,2,Low
10,2,4,2,2,3,5,4,Low
2,6,5,5,3,3,6,10,Medium
10,6,9,1,10,5,9,8,High
5,3,7,2,3,1,8,2,Low
